Name,Codename,Cores,Clock,Socket,Process,L3_Cache,TDP,Release
Xeon Silver 4116,Skylake-SP,12.0,2.1,Socket 3647,14.0,16.5MB,85.0,2017-07-11
Xeon Silver 4310,Ice Lake-SP,12.0,2.1,Socket 4189,10.0,18MB,120.0,2021-04-06
Xeon W-3323,Ice Lake-W,12.0,3.5,Socket 4189,10.0,18MB,220.0,2021-07-29
Ryzen Threadripper 1940,Zen,14.0,3.2,Socket SP3r2,14.0,32MB,180.0,
Ryzen Threadripper 1940X,Zen,14.0,3.5,Socket SP3r2,14.0,32MB,180.0,
Core i5-13500,Raptor Lake-S,14.0,2.5,Socket 1700,10.0,24MB,65.0,2023-01-04
Core i5-13500HX,Raptor Lake-HX,14.0,2.5,BGA 1964,10.0,24MB,55.0,2023-01-04
Core i5-13500T,Raptor Lake-S,14.0,1.6,Socket 1700,10.0,24MB,35.0,2023-01-04
Core i5-13600,Raptor Lake-S,14.0,2.7,Socket 1700,10.0,24MB,65.0,2023-01-04
Core i5-13600HX,Raptor Lake-HX,14.0,2.6,BGA 1964,10.0,24MB,55.0,2023-01-04
Core i5-13600K,Raptor Lake-S,14.0,3.5,Socket 1700,10.0,24MB,125.0,2022-09-27
Core i5-13600KF,Raptor Lake-S,14.0,3.5,Socket 1700,10.0,24MB,125.0,2022-09-27
Core i5-13600T,Raptor Lake-S,14.0,1.8,Socket 1700,10.0,24MB,35.0,2023-01-04
Core i7-12650HX,Alder Lake-HX,14.0,2.0,BGA 1964,10.0,24MB,55.0,2022-05-10
Core i7-12700H,Alder Lake-H,14.0,2.3,BGA 1744,10.0,24MB,45.0,
Core i7-12800H,Alder Lake-H,14.0,2.4,BGA 1744,10.0,24MB,45.0,
Core i7-12800HE,Alder Lake-H,14.0,2.4,BGA 1744,10.0,24MB,45.0,
Core i7-1280P,Alder Lake-P,14.0,1.8,BGA 1744,10.0,24MB,28.0,
Core i7-13650HX,Raptor Lake-HX,14.0,2.6,BGA 1964,10.0,24MB,55.0,2023-01-04
Core i9-10940X,Cascade Lake-X,14.0,3.3,Socket 2066,14.0,19.25MB,165.0,2019-10-19
Core i9-12900H,Alder Lake-H,14.0,2.5,BGA 1744,10.0,24MB,45.0,2022-01-04
Core i9-12900HK,Alder Lake-H,14.0,2.5,BGA 1744,10.0,24MB,45.0,2022-01-04
